work_id,mp_name,state,district,constituency,work_title,work_category,work_description,recommendation_date,sanction_date,start_date,expected_completion_date,actual_completion_date,status,sanctioned_amount,estimated_cost,actual_expenditure,physical_progress,financial_progress,latitude,longitude,village,ward,beneficiary_area,implementing_agency,vendor,last_update_date,completion_certificate,utilization_certificate,audit_certificate,photo_available,asset_register_entry,data_source
MPLAD-UT-2024-0013,Hon. Member of Parliament (Varanasi Parliamentary),Uttar Pradesh,Varanasi,Varanasi Parliamentary,Development of Approach Road connecting Railway Crossing Main Gate,Road Works,Standard infrastructure project under MPLADS guidelines for road works to improve citizen access and public amenity.,2024-07-14,2024-08-24,2024-10-03,2025-04-21,2025-04-18,COMPLETED,1406000.0,1406000.0,1373851.67,100.0,100.0,25.325252,83.004762,Gram Panchayat Bhavan,Ward 9,Varanasi Block 4,Gram Panchayat Works Division,Registered Contractor V-152 Pvt Ltd,2025-04-13,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0014,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Railway Crossing",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-01-22,2024-03-16,2024-04-26,2024-07-26,,IN_PROGRESS,2085000.0,2085000.0,1555410.0,57.8,74.6,18.464985,73.840578,Gram Main Chauraha,Ward 2,Pune Block 2,Zila Parishad Engineering Wing,Registered Contractor V-113 Pvt Ltd,2026-06-20,False,False,False,False,True,SYNTHETIC_SIMULATED
MPLAD-UT-2024-0015,Hon. Member of Parliament (Varanasi Parliamentary),Uttar Pradesh,Varanasi,Varanasi Parliamentary,"Construction of 2 Additional Classrooms in Govt Upper Primary School, Bus Stand",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-03-23,2024-05-09,2024-06-15,2024-12-15,,IN_PROGRESS,1922000.0,1922000.0,1199328.0,46.7,62.4,25.329627,82.912194,Gram Shivaji Nagar,Ward 11,Varanasi Block 1,District Urban Development Agency (DUDA),Registered Contractor V-159 Pvt Ltd,2026-06-21,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0016,Hon. Member of Parliament (Jodhpur Parliamentary),Rajasthan,Jodhpur,Jodhpur Parliamentary,Development of Community Sanitary Complex with Septic Facility,Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-01-24,2024-03-16,2024-04-02,2024-10-17,2024-11-14,COMPLETED,698000.0,698000.0,663485.44,100.0,100.0,26.225422,73.000608,Gram Ambedkar Nagar,Ward 20,Jodhpur Block 1,Zila Parishad Engineering Wing,Registered Contractor V-121 Pvt Ltd,2024-10-13,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0017,Hon. Member of Parliament (Jodhpur Parliamentary),Rajasthan,Jodhpur,Jodhpur Parliamentary,"Construction of Underground Drainage System at Railway Crossing, Ward 20",Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-03-30,2024-05-05,2024-05-26,2024-11-17,,IN_PROGRESS,720000.0,720000.0,272160.0,39.3,37.8,26.259274,73.055371,Gram Ram Mandir,Ward 15,Jodhpur Block 5,Zila Parishad Engineering Wing,Registered Contractor V-167 Pvt Ltd,2026-07-20,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0018,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,"Construction of Underground Drainage System at Shivaji Nagar, Ward 35",Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-03-17,2024-04-14,2024-05-28,2024-10-09,,IN_PROGRESS,601000.0,601000.0,417094.0,56.4,69.4,26.938825,75.780049,Gram Shastri Colony,Ward 27,Jaipur Block 5,Public Works Department (PWD) Rural,Registered Contractor V-165 Pvt Ltd,2026-06-20,False,False,False,False,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0019,Hon. Member of Parliament (Bengaluru Rural Parliamentary),Karnataka,Bengaluru Rural,Bengaluru Rural Parliamentary,Sinking of Deep Borewell with Overhead Storage Tank near Shivaji Nagar,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-08-24,2024-09-19,2024-10-27,2025-04-05,2025-04-28,COMPLETED,734000.0,734000.0,721168.46,100.0,100.0,13.171215,77.613488,Gram Shastri Colony,Ward 21,Bengaluru Rural Block 3,District Urban Development Agency (DUDA),Registered Contractor V-115 Pvt Ltd,2025-03-25,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-UT-2024-0020,Hon. Member of Parliament (Lucknow Parliamentary),Uttar Pradesh,Lucknow,Lucknow Parliamentary,Development of Approach Road connecting Panchayat Bhavan Main Gate,Road Works,Standard infrastructure project under MPLADS guidelines for road works to improve citizen access and public amenity.,2024-08-09,2024-09-15,2024-10-01,2024-12-30,2025-01-24,COMPLETED,1860000.0,1860000.0,1932021.57,100.0,100.0,26.832337,80.974638,Gram Gandhi Park,Ward 23,Lucknow Block 4,Gram Panchayat Works Division,Registered Contractor V-155 Pvt Ltd,2024-12-24,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0021,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,"Construction of CC Road from Primary Health Center to Main Chauraha, Ward 20",Road Works,Standard infrastructure project under MPLADS guidelines for road works to improve citizen access and public amenity.,2024-01-19,2024-03-02,2024-04-04,2024-09-11,2024-08-29,COMPLETED,1787000.0,1787000.0,1797950.24,100.0,100.0,26.876076,75.784647,Gram Main Chauraha,Ward 12,Jaipur Block 2,Public Works Department (PWD) Rural,Registered Contractor V-170 Pvt Ltd,2024-09-05,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0022,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,Erection of Senior Citizen Pavilion at Ram Mandir Panchayat,Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-06-16,2024-07-15,2024-08-28,2025-03-25,2025-03-21,COMPLETED,2851000.0,2851000.0,2857481.13,100.0,100.0,18.548246,73.855446,Gram Kisan Mandi,Ward 30,Pune Block 4,Zila Parishad Engineering Wing,Registered Contractor V-153 Pvt Ltd,2025-03-18,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0023,Hon. Member of Parliament (Nagpur Parliamentary),Maharashtra,Nagpur,Nagpur Parliamentary,Sinking of Deep Borewell with Overhead Storage Tank near Navodaya Vidyalaya,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-08-20,2024-09-11,2024-10-23,2025-03-22,2025-03-29,COMPLETED,622000.0,622000.0,622533.1,100.0,100.0,21.131848,79.08607,Gram Bus Stand,Ward 1,Nagpur Block 6,Gram Panchayat Works Division,Registered Contractor V-149 Pvt Ltd,2025-03-06,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0024,Hon. Member of Parliament (Nagpur Parliamentary),Maharashtra,Nagpur,Nagpur Parliamentary,Erection of Senior Citizen Pavilion at Hanuman Chowk Panchayat,Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-07-25,2024-08-31,2024-09-26,2025-03-17,,IN_PROGRESS,2503000.0,2503000.0,1767118.0,65.8,70.6,21.182287,79.080511,Gram Panchayat Bhavan,Ward 19,Nagpur Block 3,District Urban Development Agency (DUDA),Registered Contractor V-109 Pvt Ltd,2026-07-31,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0025,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,"Construction of Underground Drainage System at Shivaji Nagar, Ward 3",Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-07-14,2024-08-23,2024-09-20,2025-03-06,,IN_PROGRESS,587000.0,587000.0,297609.0,33.5,50.7,26.964126,75.769161,Gram Gandhi Park,Ward 30,Jaipur Block 5,Public Health Engineering Department (PHED),Registered Contractor V-145 Pvt Ltd,2026-06-18,False,False,False,False,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0026,Hon. Member of Parliament (Nagpur Parliamentary),Maharashtra,Nagpur,Nagpur Parliamentary,"Modernization of School Boundary Wall and Playground, Ward 20",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-06-17,2024-07-27,2024-09-01,2025-03-18,2025-04-04,COMPLETED,1923000.0,1923000.0,1981396.14,100.0,100.0,21.128239,79.120239,Gram Market Yard,Ward 23,Nagpur Block 3,Gram Panchayat Works Division,Registered Contractor V-143 Pvt Ltd,2025-03-07,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0027,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,Development of Science Laboratory & Smart Classroom at Railway Crossing,School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-06-15,2024-08-10,2024-09-03,2025-01-22,,IN_PROGRESS,1781000.0,1781000.0,391820.0,25.0,22.0,18.568415,73.862844,Gram Gandhi Park,Ward 16,Pune Block 6,Public Health Engineering Department (PHED),Registered Contractor V-123 Pvt Ltd,2026-07-28,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0028,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,Construction of Community Welfare Center at Panchayat Bhavan,Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-04-04,2024-04-29,2024-06-09,2024-12-12,2024-12-11,COMPLETED,2294000.0,2294000.0,2277278.53,100.0,100.0,18.543959,73.847718,Gram Bus Stand,Ward 16,Pune Block 5,Zila Parishad Engineering Wing,Registered Contractor V-180 Pvt Ltd,2024-12-01,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0029,Hon. Member of Parliament (Jodhpur Parliamentary),Rajasthan,Jodhpur,Jodhpur Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Bus Stand",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-07-11,2024-08-24,2024-09-23,2025-02-11,2025-02-02,COMPLETED,1851000.0,1851000.0,1835712.78,100.0,100.0,26.249264,73.033437,Gram Ram Mandir,Ward 18,Jodhpur Block 2,Zila Parishad Engineering Wing,Registered Contractor V-125 Pvt Ltd,2025-02-09,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0030,Hon. Member of Parliament (Jodhpur Parliamentary),Rajasthan,Jodhpur,Jodhpur Parliamentary,Construction of Community RO Water Filtration Plant at Main Chauraha,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-06-01,2024-07-29,2024-08-23,2025-02-25,,IN_PROGRESS,724000.0,724000.0,464808.0,48.4,64.2,26.230689,73.010457,Gram Railway Crossing,Ward 9,Jodhpur Block 2,Public Health Engineering Department (PHED),Registered Contractor V-168 Pvt Ltd,2026-05-29,False,False,False,False,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0031,Hon. Member of Parliament (Mysuru-Kodagu Parliamentary),Karnataka,Mysuru,Mysuru-Kodagu Parliamentary,Construction of Community RO Water Filtration Plant at Panchayat Bhavan,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-01-29,2024-03-07,2024-03-29,2024-07-31,2024-07-21,COMPLETED,769000.0,769000.0,784612.16,100.0,100.0,12.311653,76.633588,Gram Shivaji Nagar,Ward 5,Mysuru Block 6,District Urban Development Agency (DUDA),Registered Contractor V-157 Pvt Ltd,2024-07-12,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0032,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Navodaya Vidyalaya",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-05-27,2024-07-15,2024-08-12,2024-11-17,2024-11-26,COMPLETED,1833000.0,1833000.0,1917766.59,100.0,100.0,18.449619,73.865714,Gram Railway Crossing,Ward 1,Pune Block 3,Public Health Engineering Department (PHED),Registered Contractor V-143 Pvt Ltd,2024-11-02,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0033,Hon. Member of Parliament (Mysuru-Kodagu Parliamentary),Karnataka,Mysuru,Mysuru-Kodagu Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Shastri Colony",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-08-01,2024-09-28,2024-11-10,2025-03-08,,IN_PROGRESS,1612000.0,1612000.0,664144.0,41.4,41.2,12.295151,76.580827,Gram Shivaji Nagar,Ward 6,Mysuru Block 4,Zila Parishad Engineering Wing,Registered Contractor V-170 Pvt Ltd,2026-07-29,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0034,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Primary Health Center",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-06-27,2024-07-18,2024-08-04,2025-01-23,,IN_PROGRESS,1754000.0,1754000.0,1271650.0,77.0,72.5,18.485659,73.860282,Gram Primary Health Center,Ward 11,Pune Block 4,Zila Parishad Engineering Wing,Registered Contractor V-173 Pvt Ltd,2026-08-02,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0035,Hon. Member of Parliament (Mysuru-Kodagu Parliamentary),Karnataka,Mysuru,Mysuru-Kodagu Parliamentary,"Development of Multipurpose Cultural Hall, Ward 3",Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-01-14,2024-03-08,2024-03-24,2024-08-05,2024-08-31,COMPLETED,2538000.0,2538000.0,2471900.81,100.0,100.0,12.272729,76.639538,Gram Bus Stand,Ward 27,Mysuru Block 1,Gram Panchayat Works Division,Registered Contractor V-161 Pvt Ltd,2024-08-01,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0036,Hon. Member of Parliament (Pune Parliamentary),Maharashtra,Pune,Pune Parliamentary,Sinking of Deep Borewell with Overhead Storage Tank near Kisan Mandi,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-06-02,2024-07-05,2024-08-03,2025-01-29,2025-01-24,COMPLETED,645000.0,645000.0,676324.45,100.0,100.0,18.511334,73.855485,Gram Govt Hospital,Ward 4,Pune Block 5,Public Health Engineering Department (PHED),Registered Contractor V-115 Pvt Ltd,2025-01-16,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0037,Hon. Member of Parliament (Jodhpur Parliamentary),Rajasthan,Jodhpur,Jodhpur Parliamentary,"Construction of Underground Drainage System at Navodaya Vidyalaya, Ward 20",Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-07-11,2024-08-12,2024-08-29,2025-02-10,,IN_PROGRESS,590000.0,590000.0,336300.0,62.6,57.0,26.265755,72.984057,Gram Kisan Mandi,Ward 19,Jodhpur Block 1,Public Health Engineering Department (PHED),Registered Contractor V-151 Pvt Ltd,2026-07-17,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0038,Hon. Member of Parliament (Mysuru-Kodagu Parliamentary),Karnataka,Mysuru,Mysuru-Kodagu Parliamentary,Construction of B.R. Ambedkar Community Bhavan near Shivaji Nagar,Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-06-23,2024-08-03,2024-08-18,2025-03-04,,IN_PROGRESS,2799000.0,2799000.0,1497465.0,54.4,53.5,12.32286,76.611336,Gram Panchayat Bhavan,Ward 24,Mysuru Block 5,Gram Panchayat Works Division,Registered Contractor V-165 Pvt Ltd,2026-07-30,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0039,Hon. Member of Parliament (Mysuru-Kodagu Parliamentary),Karnataka,Mysuru,Mysuru-Kodagu Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Ambedkar Nagar",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-03-18,2024-04-27,2024-06-08,2024-10-07,,IN_PROGRESS,1654000.0,1654000.0,587170.0,30.2,35.5,12.344982,76.688131,Gram Primary Health Center,Ward 1,Mysuru Block 4,Public Health Engineering Department (PHED),Registered Contractor V-176 Pvt Ltd,2026-08-03,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0040,Hon. Member of Parliament (Bengaluru Rural Parliamentary),Karnataka,Bengaluru Rural,Bengaluru Rural Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Bus Stand",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-08-01,2024-09-06,2024-10-01,2025-02-03,,IN_PROGRESS,2055000.0,2055000.0,1298760.0,51.0,63.2,13.226691,77.55773,Gram Railway Crossing,Ward 18,Bengaluru Rural Block 2,Public Works Department (PWD) Rural,Registered Contractor V-146 Pvt Ltd,2026-06-30,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-UT-2024-0041,Hon. Member of Parliament (Lucknow Parliamentary),Uttar Pradesh,Lucknow,Lucknow Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Gandhi Park",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-03-25,2024-04-28,2024-05-25,2024-11-19,2024-11-27,COMPLETED,1852000.0,1852000.0,1801347.02,100.0,100.0,26.906431,80.976776,Gram Shivaji Nagar,Ward 18,Lucknow Block 3,Gram Panchayat Works Division,Registered Contractor V-112 Pvt Ltd,2024-10-30,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RJ-2024-0042,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,"Construction of CC Road from Main Temple to Bus Stand, Ward 4",Road Works,Construction of 600m concrete cement carriageway connecting main road to bus stand.,2024-02-10,2024-03-15,2024-01-10,2024-04-15,,STALLED,3135000.0,3135000.0,2570700.0,44.0,82.0,26.915,75.79,Sanganer Rural,Ward 4,Ward 4 Commercial Belt,Gram Panchayat Works Division,Apex Infrastructures Pvt Ltd,2024-05-30,False,False,False,False,False,SYNTHETIC_SIMULATED
